customerID,Contract,InternetService,tenure,MonthlyCharges,PaymentMethod,Churn_Proba,Risque,Action_marketing
9497-QCMMS,Month-to-month,Fiber optic,1,93.55,Electronic check,0.946,Critique,Appel client + remise 20% + proposer contrat annuel
5178-LMXOP,Month-to-month,Fiber optic,1,95.1,Electronic check,0.946,Critique,Appel client + remise 20% + proposer contrat annuel
9300-AGZNL,Month-to-month,Fiber optic,1,94.0,Electronic check,0.946,Critique,Appel client + remise 20% + proposer contrat annuel
2720-WGKHP,Month-to-month,Fiber optic,2,94.0,Electronic check,0.944,Critique,Appel client + remise 20% + proposer contrat annuel
4424-TKOPW,Month-to-month,Fiber optic,2,93.85,Electronic check,0.944,Critique,Appel client + remise 20% + proposer contrat annuel
7216-EWTRS,Month-to-month,Fiber optic,1,100.8,Electronic check,0.944,Critique,Appel client + remise 20% + proposer contrat annuel
5567-WSELE,Month-to-month,Fiber optic,3,94.6,Electronic check,0.943,Critique,Appel client + remise 20% + proposer contrat annuel
7024-OHCCK,Month-to-month,Fiber optic,2,93.85,Electronic check,0.942,Critique,Appel client + remise 20% + proposer contrat annuel
5150-ITWWB,Month-to-month,Fiber optic,3,94.85,Electronic check,0.942,Critique,Appel client + remise 20% + proposer contrat annuel
1374-DMZUI,Month-to-month,Fiber optic,4,94.3,Electronic check,0.939,Critique,Appel client + remise 20% + proposer contrat annuel
8098-LLAZX,Month-to-month,Fiber optic,4,95.45,Electronic check,0.938,Critique,Appel client + remise 20% + proposer contrat annuel
0295-PPHDO,Month-to-month,Fiber optic,1,95.45,Electronic check,0.937,Critique,Appel client + remise 20% + proposer contrat annuel
5419-JPRRN,Month-to-month,Fiber optic,1,101.45,Electronic check,0.936,Critique,Appel client + remise 20% + proposer contrat annuel
6861-XWTWQ,Month-to-month,Fiber optic,7,99.25,Electronic check,0.936,Critique,Appel client + remise 20% + proposer contrat annuel
1400-MMYXY,Month-to-month,Fiber optic,3,105.9,Electronic check,0.936,Critique,Appel client + remise 20% + proposer contrat annuel
8884-ADFVN,Month-to-month,Fiber optic,7,101.95,Electronic check,0.935,Critique,Appel client + remise 20% + proposer contrat annuel
8149-RSOUN,Month-to-month,Fiber optic,1,93.85,Electronic check,0.935,Critique,Appel client + remise 20% + proposer contrat annuel
4910-GMJOT,Month-to-month,Fiber optic,1,94.6,Electronic check,0.935,Critique,Appel client + remise 20% + proposer contrat annuel
6496-SLWHQ,Month-to-month,Fiber optic,3,105.0,Electronic check,0.935,Critique,Appel client + remise 20% + proposer contrat annuel
4822-RVYBB,Month-to-month,Fiber optic,8,100.6,Electronic check,0.933,Critique,Appel client + remise 20% + proposer contrat annuel
6023-YEBUP,Month-to-month,Fiber optic,3,100.95,Electronic check,0.933,Critique,Appel client + remise 20% + proposer contrat annuel
7851-WZEKY,Month-to-month,Fiber optic,2,95.15,Electronic check,0.933,Critique,Appel client + remise 20% + proposer contrat annuel
3049-SOLAY,Month-to-month,Fiber optic,3,95.2,Electronic check,0.932,Critique,Appel client + remise 20% + proposer contrat annuel
3158-MOERK,Month-to-month,Fiber optic,2,96.0,Electronic check,0.932,Critique,Appel client + remise 20% + proposer contrat annuel
0781-LKXBR,Month-to-month,Fiber optic,9,100.5,Electronic check,0.931,Critique,Appel client + remise 20% + proposer contrat annuel
9057-SIHCH,Month-to-month,Fiber optic,3,96.6,Electronic check,0.93,Critique,Appel client + remise 20% + proposer contrat annuel
2660-EMUBI,Month-to-month,Fiber optic,10,95.35,Electronic check,0.929,Critique,Appel client + remise 20% + proposer contrat annuel
3068-OMWZA,Month-to-month,Fiber optic,1,88.8,Electronic check,0.928,Critique,Appel client + remise 20% + proposer contrat annuel
2446-BEGGB,Month-to-month,Fiber optic,6,98.25,Electronic check,0.928,Critique,Appel client + remise 20% + proposer contrat annuel
4826-XTSOH,Month-to-month,Fiber optic,1,86.05,Electronic check,0.928,Critique,Appel client + remise 20% + proposer contrat annuel
1415-YFWLT,Month-to-month,Fiber optic,1,89.3,Electronic check,0.927,Critique,Appel client + remise 20% + proposer contrat annuel
1069-XAIEM,Month-to-month,Fiber optic,1,85.05,Electronic check,0.926,Critique,Appel client + remise 20% + proposer contrat annuel
2012-NWRPA,Month-to-month,Fiber optic,11,99.55,Electronic check,0.926,Critique,Appel client + remise 20% + proposer contrat annuel
4626-GYCZP,Month-to-month,Fiber optic,7,93.85,Electronic check,0.926,Critique,Appel client + remise 20% + proposer contrat annuel
